participant_id,study_id,participant_age,session_date,session_time,trial_number,condition,category,image_name,image_location,word,click_order,rt,id,typicality
17,borrowing_kids_pilot,4,07/21/2025,15:33:15,2,novel_word_condition,mushrooms,mushroom_enoki_2_1.png,8,tinches,2,26529,2,1
17,borrowing_kids_pilot,4,07/21/2025,15:33:15,3,novel_word_condition,leaves,leaf_oak_3_1.png,11,bines,1,6932,3,1
17,borrowing_kids_pilot,4,07/21/2025,15:33:15,3,novel_word_condition,leaves,leaf_oak_1_1.png,9,bines,2,7714,1,1
17,borrowing_kids_pilot,4,07/21/2025,15:33:15,4,novel_word_condition,shells,shell_spiral_1_1.png,5,nefts,1,7916,1,1
17,borrowing_kids_pilot,4,07/21/2025,15:33:15,4,novel_word_condition,shells,shell_spiral_2_1.png,0,nefts,2,11741,2,1
17,borrowing_kids_pilot,4,07/21/2025,15:33:15,5,novel_word_condition,flowers,flower_star_2_1.png,9,palts,1,5702,2,1
17,borrowing_kids_pilot,4,07/21/2025,15:33:15,5,novel_word_condition,flowers,flower_star_3_1.png,5,palts,2,7689,3,1
12,borrowing_kids_pilot,3,07/17/2025,12:45:11,0,familiar_word_condition,carrots,carrot_carrot_5_0.png,7,carrots,1,4695,5,0
12,borrowing_kids_pilot,3,07/17/2025,12:45:11,0,familiar_word_condition,carrots,carrot_carrot_4_0.png,10,carrots,2,8777,4,0
12,borrowing_kids_pilot,3,07/17/2025,12:45:11,1,familiar_word_condition,apples,apple_apple_4_0.png,2,apples,1,5296,4,0
12,borrowing_kids_pilot,3,07/17/2025,12:45:11,1,familiar_word_condition,apples,apple_apple_2_0.png,7,apples,2,6880,2,0
12,borrowing_kids_pilot,3,07/17/2025,12:45:11,2,familiar_word_condition,leaves,leaf_oak_3_1.png,10,leaves,1,4729,3,1
12,borrowing_kids_pilot,3,07/17/2025,12:45:11,2,familiar_word_condition,leaves,leaf_oak_1_1.png,8,leaves,2,5830,1,1
12,borrowing_kids_pilot,3,07/17/2025,12:45:11,3,familiar_word_condition,shells,shell_stingray_3_2.png,1,shells,1,4747,3,2
12,borrowing_kids_pilot,3,07/17/2025,12:45:11,3,familiar_word_condition,shells,shell_spiral_3_1.png,2,shells,2,21328,3,1
12,borrowing_kids_pilot,3,07/17/2025,12:45:11,4,familiar_word_condition,mushrooms,mushroom_disc_2_2.png,7,mushrooms,1,7094,2,2
12,borrowing_kids_pilot,3,07/17/2025,12:45:11,4,familiar_word_condition,mushrooms,mushroom_bell_3_2.png,2,mushrooms,2,9320,3,2
12,borrowing_kids_pilot,3,07/17/2025,12:45:11,5,familiar_word_condition,flowers,flower_star_1_1.png,1,flowers,1,5595,1,1
12,borrowing_kids_pilot,3,07/17/2025,12:45:11,5,familiar_word_condition,flowers,flower_star_3_1.png,6,flowers,2,8076,3,1
15,borrowing_kids_pilot,5,07/21/2025,13:16:08,0,novel_word_condition,carrots,carrot_carrot_1_0.png,5,carrots,1,22426,1,0
