participant_id,study_id,participant_age,session_date,session_time,trial_number,condition,category,image_name,image_location,word,click_order,rt,id,typicality,experiment_date,date_of_birth,experimenter,notes,exclude,exclusion_reason,exact_age
6,exp_2_child,4,10/30/2025,13:50:26,6,novel_word_condition,hats,hat_jester_3_2.png,1,nefts,2,3498,3,2,10/30,5/27/2021,OL,NA,FALSE,NA,NA
6,exp_2_child,4,10/30/2025,13:50:26,7,novel_word_condition,shoes,shoe_loafer_1_1.png,2,gades,1,4431,1,1,10/30,5/27/2021,OL,NA,FALSE,NA,NA
6,exp_2_child,4,10/30/2025,13:50:26,7,novel_word_condition,shoes,shoe_ghillie_3_2.png,0,gades,2,5846,3,2,10/30,5/27/2021,OL,NA,FALSE,NA,NA
6,exp_2_child,4,10/30/2025,13:50:26,8,novel_word_condition,flowers,flower_iris_1_2.png,2,tinches,1,3098,1,2,10/30,5/27/2021,OL,NA,FALSE,NA,NA
6,exp_2_child,4,10/30/2025,13:50:26,8,novel_word_condition,flowers,flower_star_2_1.png,1,tinches,2,4814,2,1,10/30,5/27/2021,OL,NA,FALSE,NA,NA
6,exp_2_child,4,10/30/2025,13:50:26,9,novel_word_condition,leaves,leaf_heart_2_2.png,2,datches,1,2980,2,2,10/30,5/27/2021,OL,NA,FALSE,NA,NA
6,exp_2_child,4,10/30/2025,13:50:26,9,novel_word_condition,leaves,leaf_oak_3_1.png,1,datches,2,4030,3,1,10/30,5/27/2021,OL,NA,FALSE,NA,NA
17,exp_2_child,4,11/04/2025,12:57:20,0,novel_word_condition,apples,apple_apple_3_0.png,11,apples,1,4430,3,0,11/4/2025,12/10/2020,OL,NA,FALSE,NA,58.8235294117647
17,exp_2_child,4,11/04/2025,12:57:20,0,novel_word_condition,apples,apple_apple_6_0.png,7,apples,2,5412,6,0,11/4/2025,12/10/2020,OL,NA,FALSE,NA,58.8235294117647
17,exp_2_child,4,11/04/2025,12:57:20,1,novel_word_condition,carrots,carrot_carrot_3_0.png,6,carrots,1,3713,3,0,11/4/2025,12/10/2020,OL,NA,FALSE,NA,58.8235294117647
17,exp_2_child,4,11/04/2025,12:57:20,1,novel_word_condition,carrots,carrot_carrot_4_0.png,11,carrots,2,4513,4,0,11/4/2025,12/10/2020,OL,NA,FALSE,NA,58.8235294117647
17,exp_2_child,4,11/04/2025,12:57:20,2,novel_word_condition,spoons,spoon_slotted_1_2.png,4,leams,1,12131,1,2,11/4/2025,12/10/2020,OL,NA,FALSE,NA,58.8235294117647
17,exp_2_child,4,11/04/2025,12:57:20,2,novel_word_condition,spoons,spoon_slotted_3_2.png,7,leams,2,13345,3,2,11/4/2025,12/10/2020,OL,NA,FALSE,NA,58.8235294117647
17,exp_2_child,4,11/04/2025,12:57:20,3,novel_word_condition,flowers,flower_trumpet_3_2.png,8,nefts,1,6400,3,2,11/4/2025,12/10/2020,OL,NA,FALSE,NA,58.8235294117647
17,exp_2_child,4,11/04/2025,12:57:20,3,novel_word_condition,flowers,flower_trumpet_1_2.png,11,nefts,2,9997,1,2,11/4/2025,12/10/2020,OL,NA,FALSE,NA,58.8235294117647
17,exp_2_child,4,11/04/2025,12:57:20,4,novel_word_condition,hats,hat_jester_1_2.png,11,serns,1,6495,1,2,11/4/2025,12/10/2020,OL,NA,FALSE,NA,58.8235294117647
17,exp_2_child,4,11/04/2025,12:57:20,4,novel_word_condition,hats,hat_jester_3_2.png,7,serns,2,7329,3,2,11/4/2025,12/10/2020,OL,NA,FALSE,NA,58.8235294117647
17,exp_2_child,4,11/04/2025,12:57:20,5,novel_word_condition,mushrooms,mushroom_disc_3_2.png,5,gades,1,6174,3,2,11/4/2025,12/10/2020,OL,NA,FALSE,NA,58.8235294117647
17,exp_2_child,4,11/04/2025,12:57:20,5,novel_word_condition,mushrooms,mushroom_disc_1_2.png,3,gades,2,7329,1,2,11/4/2025,12/10/2020,OL,NA,FALSE,NA,58.8235294117647
17,exp_2_child,4,11/04/2025,12:57:20,6,novel_word_condition,cups,cup_twohandled_3_2.png,8,palts,1,4307,3,2,11/4/2025,12/10/2020,OL,NA,FALSE,NA,58.8235294117647
17,exp_2_child,4,11/04/2025,12:57:20,6,novel_word_condition,cups,cup_twohandled_2_2.png,11,palts,2,5446,2,2,11/4/2025,12/10/2020,OL,NA,FALSE,NA,58.8235294117647
17,exp_2_child,4,11/04/2025,12:57:20,7,novel_word_condition,shells,shell_stingray_3_2.png,8,tinches,1,6895,3,2,11/4/2025,12/10/2020,OL,NA,FALSE,NA,58.8235294117647
17,exp_2_child,4,11/04/2025,12:57:20,7,novel_word_condition,shells,shell_stingray_2_2.png,7,tinches,2,8114,2,2,11/4/2025,12/10/2020,OL,NA,FALSE,NA,58.8235294117647
17,exp_2_child,4,11/04/2025,12:57:20,8,novel_word_condition,leaves,leaf_heart_2_2.png,8,bines,1,6014,2,2,11/4/2025,12/10/2020,OL,NA,FALSE,NA,58.8235294117647
17,exp_2_child,4,11/04/2025,12:57:20,8,novel_word_condition,leaves,leaf_heart_3_2.png,4,bines,2,9299,3,2,11/4/2025,12/10/2020,OL,NA,FALSE,NA,58.8235294117647
17,exp_2_child,4,11/04/2025,12:57:20,9,novel_word_condition,shoes,shoe_ghillie_1_2.png,4,datches,1,4959,1,2,11/4/2025,12/10/2020,OL,NA,FALSE,NA,58.8235294117647
17,exp_2_child,4,11/04/2025,12:57:20,9,novel_word_condition,shoes,shoe_ghillie_3_2.png,6,datches,2,6046,3,2,11/4/2025,12/10/2020,OL,NA,FALSE,NA,58.8235294117647
20,exp_2_child,3,11/06/2025,08:31:40,0,novel_word_condition,carrots,carrot_carrot_4_0.png,7,carrots,1,3579,4,0,11/6/2025,3/23/2022,CB,NA,FALSE,NA,43.50969438054551
20,exp_2_child,3,11/06/2025,08:31:40,0,novel_word_condition,carrots,carrot_carrot_3_0.png,10,carrots,2,4846,3,0,11/6/2025,3/23/2022,CB,NA,FALSE,NA,43.50969438054551
20,exp_2_child,3,11/06/2025,08:31:40,1,novel_word_condition,apples,apple_apple_5_0.png,11,apples,1,3299,5,0,11/6/2025,3/23/2022,CB,NA,FALSE,NA,43.50969438054551
20,exp_2_child,3,11/06/2025,08:31:40,1,novel_word_condition,apples,apple_apple_2_0.png,3,apples,2,4362,2,0,11/6/2025,3/23/2022,CB,NA,FALSE,NA,43.50969438054551
20,exp_2_child,3,11/06/2025,08:31:40,2,novel_word_condition,hats,hat_party_1_2.png,9,bines,1,9632,1,2,11/6/2025,3/23/2022,CB,NA,FALSE,NA,43.50969438054551
20,exp_2_child,3,11/06/2025,08:31:40,2,novel_word_condition,hats,hat_party_2_2.png,6,bines,2,12165,2,2,11/6/2025,3/23/2022,CB,NA,FALSE,NA,43.50969438054551
