study_id,session_id,trial_number,condition,category,image_name,word,click_order,rt,id,typicality,participant_id
borrowing_adult_artifacts,6969790d3678db313a43f63f,3,novel_word_condition,hats,hat_ballcap_1_1.png,serns,1,8086,1,1,41
borrowing_adult_artifacts,6969790d3678db313a43f63f,3,novel_word_condition,hats,hat_ballcap_2_1.png,serns,2,9147,2,1,41
borrowing_adult_artifacts,6969790d3678db313a43f63f,4,novel_word_condition,spoons,spoon_square_2_2.png,tinches,1,19068,2,2,41
borrowing_adult_artifacts,6969790d3678db313a43f63f,4,novel_word_condition,spoons,spoon_square_3_2.png,tinches,2,26054,3,2,41
borrowing_adult_artifacts,6969790d3678db313a43f63f,5,novel_word_condition,shoes,shoe_ghillie_1_2.png,palts,1,8162,1,2,41
borrowing_adult_artifacts,6969790d3678db313a43f63f,5,novel_word_condition,shoes,shoe_ghillie_3_2.png,palts,2,9636,3,2,41
borrowing_adult_artifacts,6969790d3678db313a43f63f,6,novel_word_condition,cups,cup_sherry_2_2.png,leams,1,5806,2,2,41
borrowing_adult_artifacts,6969790d3678db313a43f63f,6,novel_word_condition,cups,cup_sherry_3_2.png,leams,2,6306,3,2,41
borrowing_adult_artifacts,6969790d3678db313a43f63f,7,novel_word_condition,flowers,flower_star_3_1.png,nefts,1,6094,3,1,41
borrowing_adult_artifacts,6969790d3678db313a43f63f,7,novel_word_condition,flowers,flower_star_2_1.png,nefts,2,6643,2,1,41
borrowing_adult_artifacts,69697e6ae576836922d8bcf5,0,familiar_word_condition,spoons,spoon_teaspoon_2_1.png,spoons,1,9825,2,1,39
borrowing_adult_artifacts,69697e6ae576836922d8bcf5,0,familiar_word_condition,spoons,spoon_teaspoon_1_1.png,spoons,2,23904,1,1,39
borrowing_adult_artifacts,69697e6ae576836922d8bcf5,1,familiar_word_condition,flowers,flower_round_3_1.png,flowers,1,9409,3,1,39
borrowing_adult_artifacts,69697e6ae576836922d8bcf5,1,familiar_word_condition,flowers,flower_round_1_1.png,flowers,2,11830,1,1,39
borrowing_adult_artifacts,69697e6ae576836922d8bcf5,2,familiar_word_condition,leaves,leaf_droplet_1_1.png,leaves,1,7911,1,1,39
borrowing_adult_artifacts,69697e6ae576836922d8bcf5,2,familiar_word_condition,leaves,leaf_droplet_2_1.png,leaves,2,10870,2,1,39
borrowing_adult_artifacts,69697e6ae576836922d8bcf5,3,familiar_word_condition,cups,cup_teacup_2_1.png,cups,1,16885,2,1,39
borrowing_adult_artifacts,69697e6ae576836922d8bcf5,3,familiar_word_condition,cups,cup_teacup_1_1.png,cups,2,19097,1,1,39
borrowing_adult_artifacts,69697e6ae576836922d8bcf5,4,familiar_word_condition,hats,hat_ballcap_3_1.png,hats,1,6445,3,1,39
borrowing_adult_artifacts,69697e6ae576836922d8bcf5,4,familiar_word_condition,hats,hat_ballcap_2_1.png,hats,2,9151,2,1,39
borrowing_adult_artifacts,69697e6ae576836922d8bcf5,5,familiar_word_condition,mushrooms,mushroom_toadstool_2_1.png,mushrooms,1,9713,2,1,39
borrowing_adult_artifacts,69697e6ae576836922d8bcf5,5,familiar_word_condition,mushrooms,mushroom_toadstool_1_1.png,mushrooms,2,10934,1,1,39
borrowing_adult_artifacts,69697e6ae576836922d8bcf5,6,familiar_word_condition,shells,shell_spiral_2_1.png,shells,1,6908,2,1,39
borrowing_adult_artifacts,69697e6ae576836922d8bcf5,6,familiar_word_condition,shells,shell_spiral_3_1.png,shells,2,8657,3,1,39
borrowing_adult_artifacts,69697e6ae576836922d8bcf5,7,familiar_word_condition,shoes,shoe_sneaker_3_1.png,shoes,1,8112,3,1,39
borrowing_adult_artifacts,69697e6ae576836922d8bcf5,7,familiar_word_condition,shoes,shoe_sneaker_1_1.png,shoes,2,9878,1,1,39
borrowing_adult_artifacts,69697906048dcc85237140d7,0,novel_word_condition,mushrooms,mushroom_disc_3_2.png,gades,1,8266,3,2,113
borrowing_adult_artifacts,69697906048dcc85237140d7,0,novel_word_condition,mushrooms,mushroom_disc_1_2.png,gades,2,9057,1,2,113
borrowing_adult_artifacts,69697906048dcc85237140d7,1,novel_word_condition,leaves,leaf_bean_3_2.png,serns,1,11266,3,2,113
borrowing_adult_artifacts,69697906048dcc85237140d7,1,novel_word_condition,leaves,leaf_bean_1_2.png,serns,2,12210,1,2,113
borrowing_adult_artifacts,69697906048dcc85237140d7,2,novel_word_condition,shoes,shoe_elf_2_2.png,bines,1,7359,2,2,113
borrowing_adult_artifacts,69697906048dcc85237140d7,2,novel_word_condition,shoes,shoe_elf_3_2.png,bines,2,8343,3,2,113
borrowing_adult_artifacts,69697906048dcc85237140d7,3,novel_word_condition,flowers,flower_iris_2_2.png,datches,1,6104,2,2,113
borrowing_adult_artifacts,69697906048dcc85237140d7,3,novel_word_condition,flowers,flower_iris_1_2.png,datches,2,6680,1,2,113
borrowing_adult_artifacts,69697906048dcc85237140d7,4,novel_word_condition,shells,shell_spiral_1_1.png,palts,1,7130,1,1,113
borrowing_adult_artifacts,69697906048dcc85237140d7,4,novel_word_condition,shells,shell_spiral_2_1.png,palts,2,7770,2,1,113
borrowing_adult_artifacts,69697906048dcc85237140d7,5,novel_word_condition,spoons,spoon_soup_3_1.png,tinches,1,12096,3,1,113
borrowing_adult_artifacts,69697906048dcc85237140d7,5,novel_word_condition,spoons,spoon_soup_2_1.png,tinches,2,12825,2,1,113
borrowing_adult_artifacts,69697906048dcc85237140d7,6,novel_word_condition,hats,hat_jester_2_2.png,nefts,1,3335,2,2,113
borrowing_adult_artifacts,69697906048dcc85237140d7,6,novel_word_condition,hats,hat_jester_1_2.png,nefts,2,4319,1,2,113
borrowing_adult_artifacts,69697906048dcc85237140d7,7,novel_word_condition,cups,cup_teacup_1_1.png,leams,1,9213,1,1,113
borrowing_adult_artifacts,69697906048dcc85237140d7,7,novel_word_condition,cups,cup_teacup_2_1.png,leams,2,10157,2,1,113
borrowing_adult_artifacts,696979b261d8c5fcd8975ceb,0,novel_word_condition,flowers,flower_trumpet_3_2.png,datches,1,20095,3,2,86
borrowing_adult_artifacts,696979b261d8c5fcd8975ceb,0,novel_word_condition,flowers,flower_trumpet_1_2.png,datches,2,21090,1,2,86
borrowing_adult_artifacts,696979b261d8c5fcd8975ceb,1,novel_word_condition,mushrooms,mushroom_disc_3_2.png,bines,1,4982,3,2,86
borrowing_adult_artifacts,696979b261d8c5fcd8975ceb,1,novel_word_condition,mushrooms,mushroom_disc_1_2.png,bines,2,6117,1,2,86
