participant_id,study_id,session_id,trial_number,condition,category,image_name,word,click_order,rt,id,typicality
participant268,67cfb8a562de5c8e881149b4,0rcjjnjc24dn,2,novel_word_condition,mushrooms,mushroom_bell_2_2.png,nefts,2,1599,2,2
participant268,67cfb8a562de5c8e881149b4,0rcjjnjc24dn,3,novel_word_condition,leaves,leaf_bean_1_2.png,bines,1,769,1,2
participant268,67cfb8a562de5c8e881149b4,0rcjjnjc24dn,3,novel_word_condition,leaves,leaf_oak_3_1.png,bines,2,1114,3,1
participant276,67cfb8a562de5c8e881149b4,67cfbb8d05a3cee07823ae1f,0,novel_word_condition,leaves,leaf_bean_1_2.png,palts,1,8298,1,2
participant276,67cfb8a562de5c8e881149b4,67cfbb8d05a3cee07823ae1f,0,novel_word_condition,leaves,leaf_bean_2_2.png,palts,2,8843,2,2
participant276,67cfb8a562de5c8e881149b4,67cfbb8d05a3cee07823ae1f,1,novel_word_condition,shells,shell_fan_2_1.png,nefts,1,5123,2,1
participant276,67cfb8a562de5c8e881149b4,67cfbb8d05a3cee07823ae1f,1,novel_word_condition,shells,shell_fan_1_1.png,nefts,2,5510,1,1
participant276,67cfb8a562de5c8e881149b4,67cfbb8d05a3cee07823ae1f,2,novel_word_condition,flowers,flower_trumpet_2_2.png,tinches,1,3399,2,2
participant276,67cfb8a562de5c8e881149b4,67cfbb8d05a3cee07823ae1f,2,novel_word_condition,flowers,flower_trumpet_3_2.png,tinches,2,3632,3,2
participant276,67cfb8a562de5c8e881149b4,67cfbb8d05a3cee07823ae1f,3,novel_word_condition,mushrooms,mushroom_toadstool_1_1.png,bines,1,4815,1,1
participant276,67cfb8a562de5c8e881149b4,67cfbb8d05a3cee07823ae1f,3,novel_word_condition,mushrooms,mushroom_toadstool_2_1.png,bines,2,5098,2,1
participant280,67cfb8a562de5c8e881149b4,67cfbab01ef6e67916567a41,0,novel_word_condition,shells,shell_stingray_2_2.png,nefts,1,12099,2,2
participant280,67cfb8a562de5c8e881149b4,67cfbab01ef6e67916567a41,0,novel_word_condition,shells,shell_stingray_3_2.png,nefts,2,12834,3,2
participant280,67cfb8a562de5c8e881149b4,67cfbab01ef6e67916567a41,1,novel_word_condition,leaves,leaf_bean_3_2.png,tinches,1,13354,3,2
participant280,67cfb8a562de5c8e881149b4,67cfbab01ef6e67916567a41,1,novel_word_condition,leaves,leaf_bean_1_2.png,tinches,2,14402,1,2
participant280,67cfb8a562de5c8e881149b4,67cfbab01ef6e67916567a41,2,novel_word_condition,flowers,flower_trumpet_3_2.png,bines,1,13029,3,2
participant280,67cfb8a562de5c8e881149b4,67cfbab01ef6e67916567a41,2,novel_word_condition,flowers,flower_trumpet_1_2.png,bines,2,13356,1,2
participant280,67cfb8a562de5c8e881149b4,67cfbab01ef6e67916567a41,3,novel_word_condition,mushrooms,mushroom_enoki_1_1.png,palts,1,11328,1,1
participant280,67cfb8a562de5c8e881149b4,67cfbab01ef6e67916567a41,3,novel_word_condition,mushrooms,mushroom_enoki_2_1.png,palts,2,11748,2,1
participant344,67cfb8a562de5c8e881149b4,67cfbc00cae5677f2c393f22,0,novel_word_condition,mushrooms,mushroom_disc_3_2.png,nefts,1,16455,3,2
participant344,67cfb8a562de5c8e881149b4,67cfbc00cae5677f2c393f22,0,novel_word_condition,mushrooms,mushroom_bell_2_2.png,nefts,2,19351,2,2
participant344,67cfb8a562de5c8e881149b4,67cfbc00cae5677f2c393f22,1,novel_word_condition,leaves,leaf_bean_1_2.png,bines,1,173247,1,2
participant344,67cfb8a562de5c8e881149b4,67cfbc00cae5677f2c393f22,1,novel_word_condition,leaves,leaf_bean_2_2.png,bines,2,173815,2,2
participant344,67cfb8a562de5c8e881149b4,67cfbc00cae5677f2c393f22,2,novel_word_condition,shells,shell_spiral_2_1.png,tinches,1,22083,2,1
participant344,67cfb8a562de5c8e881149b4,67cfbc00cae5677f2c393f22,2,novel_word_condition,shells,shell_spiral_3_1.png,tinches,2,22931,3,1
participant344,67cfb8a562de5c8e881149b4,67cfbc00cae5677f2c393f22,3,novel_word_condition,flowers,flower_trumpet_1_2.png,palts,1,59906,1,2
participant344,67cfb8a562de5c8e881149b4,67cfbc00cae5677f2c393f22,3,novel_word_condition,flowers,flower_iris_3_2.png,palts,2,62746,3,2
participant362,67cfb8a562de5c8e881149b4,67cfbdf11f20553b157204d8,0,familiar_word_condition,shells,shell_fan_1_1.png,shells,1,59026,1,1
participant362,67cfb8a562de5c8e881149b4,67cfbdf11f20553b157204d8,0,familiar_word_condition,shells,shell_spiral_3_1.png,shells,2,63234,3,1
participant362,67cfb8a562de5c8e881149b4,67cfbdf11f20553b157204d8,1,familiar_word_condition,flowers,flower_iris_2_2.png,flowers,1,16605,2,2
participant362,67cfb8a562de5c8e881149b4,67cfbdf11f20553b157204d8,1,familiar_word_condition,flowers,flower_trumpet_3_2.png,flowers,2,42181,3,2
participant362,67cfb8a562de5c8e881149b4,67cfbdf11f20553b157204d8,2,familiar_word_condition,leaves,leaf_droplet_1_1.png,leaves,1,24764,1,1
participant362,67cfb8a562de5c8e881149b4,67cfbdf11f20553b157204d8,2,familiar_word_condition,leaves,leaf_droplet_3_1.png,leaves,2,25964,3,1
participant362,67cfb8a562de5c8e881149b4,67cfbdf11f20553b157204d8,3,familiar_word_condition,mushrooms,mushroom_bell_1_2.png,mushrooms,1,18312,1,2
participant362,67cfb8a562de5c8e881149b4,67cfbdf11f20553b157204d8,3,familiar_word_condition,mushrooms,mushroom_bell_2_2.png,mushrooms,2,19951,2,2
participant366,67cfb8a562de5c8e881149b4,67cfbfc747be5309054e1e92,0,familiar_word_condition,mushrooms,mushroom_bell_1_2.png,mushrooms,1,7120,1,2
participant366,67cfb8a562de5c8e881149b4,67cfbfc747be5309054e1e92,0,familiar_word_condition,mushrooms,mushroom_enoki_2_1.png,mushrooms,2,9418,2,1
participant366,67cfb8a562de5c8e881149b4,67cfbfc747be5309054e1e92,1,familiar_word_condition,shells,shell_spiral_2_1.png,shells,1,8171,2,1
participant366,67cfb8a562de5c8e881149b4,67cfbfc747be5309054e1e92,1,familiar_word_condition,shells,shell_stingray_1_2.png,shells,2,9548,1,2
participant366,67cfb8a562de5c8e881149b4,67cfbfc747be5309054e1e92,2,familiar_word_condition,leaves,leaf_droplet_2_1.png,leaves,1,3559,2,1
participant366,67cfb8a562de5c8e881149b4,67cfbfc747be5309054e1e92,2,familiar_word_condition,leaves,leaf_droplet_1_1.png,leaves,2,6817,1,1
participant366,67cfb8a562de5c8e881149b4,67cfbfc747be5309054e1e92,3,familiar_word_condition,flowers,flower_round_1_1.png,flowers,1,5671,1,1
participant366,67cfb8a562de5c8e881149b4,67cfbfc747be5309054e1e92,3,familiar_word_condition,flowers,flower_trumpet_2_2.png,flowers,2,9994,2,2
participant390,67cfb8a562de5c8e881149b4,67cfc77399afce993a5369c5,0,novel_word_condition,leaves,leaf_bean_3_2.png,palts,1,2722,3,2
participant390,67cfb8a562de5c8e881149b4,67cfc77399afce993a5369c5,0,novel_word_condition,leaves,leaf_bean_1_2.png,palts,2,3303,1,2
participant390,67cfb8a562de5c8e881149b4,67cfc77399afce993a5369c5,1,novel_word_condition,flowers,flower_trumpet_1_2.png,tinches,1,3002,1,2
participant390,67cfb8a562de5c8e881149b4,67cfc77399afce993a5369c5,1,novel_word_condition,flowers,flower_trumpet_3_2.png,tinches,2,3690,3,2
participant390,67cfb8a562de5c8e881149b4,67cfc77399afce993a5369c5,2,novel_word_condition,mushrooms,mushroom_enoki_3_1.png,nefts,1,2041,3,1
participant390,67cfb8a562de5c8e881149b4,67cfc77399afce993a5369c5,2,novel_word_condition,mushrooms,mushroom_enoki_1_1.png,nefts,2,2624,1,1
participant390,67cfb8a562de5c8e881149b4,67cfc77399afce993a5369c5,3,novel_word_condition,shells,shell_stingray_3_2.png,bines,1,1687,3,2
participant390,67cfb8a562de5c8e881149b4,67cfc77399afce993a5369c5,3,novel_word_condition,shells,shell_stingray_1_2.png,bines,2,2130,1,2
participant411,67cfb8a562de5c8e881149b4,67cfbc86e2c7c714932afcef,0,familiar_word_condition,leaves,leaf_oak_3_1.png,leaves,1,4720,3,1
participant411,67cfb8a562de5c8e881149b4,67cfbc86e2c7c714932afcef,0,familiar_word_condition,leaves,leaf_oak_1_1.png,leaves,2,5102,1,1
participant411,67cfb8a562de5c8e881149b4,67cfbc86e2c7c714932afcef,1,familiar_word_condition,shells,shell_spiral_1_1.png,shells,1,12611,1,1
participant411,67cfb8a562de5c8e881149b4,67cfbc86e2c7c714932afcef,1,familiar_word_condition,shells,shell_urn_1_2.png,shells,2,13640,1,2
participant411,67cfb8a562de5c8e881149b4,67cfbc86e2c7c714932afcef,2,familiar_word_condition,mushrooms,mushroom_toadstool_3_1.png,mushrooms,1,2474,3,1
participant411,67cfb8a562de5c8e881149b4,67cfbc86e2c7c714932afcef,2,familiar_word_condition,mushrooms,mushroom_bell_3_2.png,mushrooms,2,3099,3,2
participant411,67cfb8a562de5c8e881149b4,67cfbc86e2c7c714932afcef,3,familiar_word_condition,flowers,flower_star_1_1.png,flowers,1,25977,1,1
participant411,67cfb8a562de5c8e881149b4,67cfbc86e2c7c714932afcef,3,familiar_word_condition,flowers,flower_iris_2_2.png,flowers,2,27421,2,2
participant42,67cfb8a562de5c8e881149b4,67cfbe4e0902f3297f662958,0,familiar_word_condition,flowers,flower_star_2_1.png,flowers,1,10912,2,1
participant42,67cfb8a562de5c8e881149b4,67cfbe4e0902f3297f662958,0,familiar_word_condition,flowers,flower_trumpet_1_2.png,flowers,2,16128,1,2
participant42,67cfb8a562de5c8e881149b4,67cfbe4e0902f3297f662958,1,familiar_word_condition,mushrooms,mushroom_enoki_2_1.png,mushrooms,1,4647,2,1
participant42,67cfb8a562de5c8e881149b4,67cfbe4e0902f3297f662958,1,familiar_word_condition,mushrooms,mushroom_toadstool_3_1.png,mushrooms,2,6698,3,1
participant42,67cfb8a562de5c8e881149b4,67cfbe4e0902f3297f662958,2,familiar_word_condition,leaves,leaf_droplet_3_1.png,leaves,1,4098,3,1
participant42,67cfb8a562de5c8e881149b4,67cfbe4e0902f3297f662958,2,familiar_word_condition,leaves,leaf_droplet_1_1.png,leaves,2,6297,1,1
